benchmark,endpoint,task,representation,learner,metric,score,auroc,macro_auroc,micro_auroc,c_index,auprc,balanced_accuracy,accuracy,macro_f1,cohen_kappa,top3_accuracy,top5_accuracy,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,primary_metric_scope,split_strategy,tuning,linear_solver,xgb_tree_method,experiment_id,model_family,cache_key,oof_prediction_file,fold_metrics_file,optuna_trials_completed,run_id,status,atlas_status_note,runtime_seconds,selected_feature_count_min,selected_feature_count_median,selected_feature_count_max,selected_feature_sets,candidate_feature_set_count,candidate_feature_sets,feature_selection
mc3_main,HRD_Score,regression,burden_only,linear,spearman,0.4972882379978098,,,,,,,,,,,,14.25349857663978,0.1666329824469876,772,85,3,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,elastic_net_coordinate_descent_nested_v1,,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached burden-only matrix,1.21,,,,,,,
mc3_main,HRD_Score,regression,burden_only,xgboost,spearman,0.5997475549807492,,,,,,,,,,,,12.152472683185122,0.4067559597497241,772,85,3,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,gpu_hist,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached burden-only matrix,1.667,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_id83,linear,spearman,0.4305867692307522,,,,,,,,,,,,14.903998723488064,-1.4582932274465388,772,85,182,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,elastic_net_coordinate_descent_nested_v1,,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached SBS96+ID83 signature matrix,1.889,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_id83,xgboost,spearman,0.69267507861819,,,,,,,,,,,,9.971991759507768,0.5974466071226234,772,85,182,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,gpu_hist,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached SBS96+ID83 signature matrix,10.211,,,,,,,
mc3_main,HRD_Score,regression,MAF_stack_only,linear,spearman,0.7144086094891684,,,,,,,,,,,,10.991346274190972,0.4883093764451305,772,85,948,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,elastic_net_coordinate_descent_nested_v1,,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,"MC3/HRD maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948})",120.513,923.0,943.0,948.0,v4_compact_plus_exact_driver_genes;v4_full_core;v4_full_core_plus_optional_controls,6.0,v4_compact_biology_only;v4_compact_plus_driver_evidence_tiers;v4_compact_plus_exact_driver_genes;v4_compact_plus_hotspot_summary;v4_full_core;v4_full_core_plus_optional_controls,inner_validation_selects_predeclared_bio_v4_feature_block_with_model_hyperparameters
mc3_main,HRD_Score,regression,MAF_stack_only,xgboost,spearman,0.7412851483809776,,,,,,,,,,,,9.956424092999391,0.5831607140663808,772,85,948,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,"MC3/HRD maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948})",82.771,923.0,948.0,948.0,v4_compact_plus_exact_driver_genes;v4_full_core_plus_optional_controls,6.0,v4_compact_biology_only;v4_compact_plus_driver_evidence_tiers;v4_compact_plus_exact_driver_genes;v4_compact_plus_hotspot_summary;v4_full_core;v4_full_core_plus_optional_controls,inner_validation_selects_predeclared_bio_v4_feature_block_with_model_hyperparameters
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,linear,spearman,0.7325062605793751,,,,,,,,,,,,10.466027930430968,0.568237610766599,772,85,1130,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,elastic_net_coordinate_descent_nested_v1,,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,"MC3/HRD signatures_plus_maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130})",178.361,1105.0,1125.0,1130.0,signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,7.0,signatures_only;signatures_plus_v4_compact_biology_only;signatures_plus_v4_compact_plus_driver_evidence_tiers;signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_compact_plus_hotspot_summary;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,inner_validation_selects_predeclared_bio_v4_feature_block_with_model_hyperparameters
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,xgboost,spearman,0.7666447319392569,,,,,,,,,,,,9.191327254003191,0.6521774032390355,772,85,1130,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,"MC3/HRD signatures_plus_maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130})",146.133,1105.0,1130.0,1130.0,signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,7.0,signatures_only;signatures_plus_v4_compact_biology_only;signatures_plus_v4_compact_plus_driver_evidence_tiers;signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_compact_plus_hotspot_summary;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,inner_validation_selects_predeclared_bio_v4_feature_block_with_model_hyperparameters
mc3_main,HRD_TAI,regression,burden_only,linear,spearman,0.5275119774429347,,,,,,,,,,,,5.277284530548123,0.2112728178650161,772,35,3,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,elastic_net_coordinate_descent_nested_v1,,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached burden-only matrix,0.412,,,,,,,
mc3_main,HRD_TAI,regression,burden_only,xgboost,spearman,0.5957624232432392,,,,,,,,,,,,4.705556343256501,0.3776813748277497,772,35,3,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,gpu_hist,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260815T164541Z,measured,MC3 cached burden-only matrix,1.139,,,,,,,
